miRNA,Gene
hsa-let-7a-5p,ACTB
hsa-let-7b-5p,ACTB
hsa-let-7c-5p,ACTB
hsa-miR-100-5p,ACTB
hsa-miR-1200,ACTB
hsa-miR-1303,ACTB
hsa-miR-145-5p,ACTB
hsa-miR-16-5p,ACTB
hsa-miR-19a-3p,ACTB
hsa-miR-19b-3p,ACTB
hsa-miR-218-5p,ACTB
hsa-miR-221-3p,ACTB
hsa-miR-222-3p,ACTB
hsa-miR-324-5p,ACTB
hsa-miR-3613-3p,ACTB
hsa-miR-455-3p,ACTB
hsa-miR-484,ACTB
hsa-miR-493-3p,ACTB
hsa-miR-520h,ACTB
hsa-miR-544a,ACTB
hsa-miR-548aa,ACTB
hsa-miR-548h-3p,ACTB
hsa-miR-548n,ACTB
hsa-miR-548t-3p,ACTB
hsa-miR-548z,ACTB
hsa-miR-644a,ACTB
hsa-miR-92a-3p,ACTB
hsa-let-7b-5p,ACTG1
hsa-miR-10a-5p,ACTG1
hsa-miR-1180-3p,ACTG1
hsa-miR-149-5p,ACTG1
hsa-miR-16-5p,ACTG1
hsa-miR-197-3p,ACTG1
hsa-miR-221-3p,ACTG1
hsa-miR-222-3p,ACTG1
hsa-miR-331-3p,ACTG1
hsa-miR-34a-5p,ACTG1
hsa-miR-361-5p,ACTG1
hsa-miR-423-5p,ACTG1
hsa-miR-877-5p,ACTG1
hsa-miR-99b-5p,ACTG1
hsa-miR-16-5p,ACTN1
hsa-miR-218-5p,ACTN1
hsa-let-7b-5p,ACTN4
hsa-let-7c-5p,ACTN4
hsa-miR-1180-5p,ACTN4
hsa-miR-16-5p,ACTN4
hsa-miR-185-5p,ACTN4
hsa-miR-193a-3p,ACTN4
hsa-miR-23a-3p,ACTN4
hsa-miR-23b-3p,ACTN4
hsa-miR-26a-5p,ACTN4
hsa-miR-324-3p,ACTN4
hsa-miR-324-5p,ACTN4
hsa-miR-339-5p,ACTN4
hsa-miR-374a-5p,ACTN4
hsa-miR-548a-5p,ACTN4
hsa-miR-548am-5p,ACTN4
hsa-miR-548ar-5p,ACTN4
hsa-miR-548c-5p,ACTN4
hsa-miR-548i,ACTN4
hsa-miR-548j-5p,ACTN4
hsa-miR-548o-5p,ACTN4
hsa-miR-92b-3p,ACTN4
hsa-miR-1180-5p,ADAM9
hsa-miR-125a-5p,ADAM9
hsa-miR-23a-3p,ADAM9
hsa-miR-26b-5p,ADAM9
hsa-miR-30a-5p,ADAM9
hsa-miR-30b-5p,ADAM9
hsa-miR-30c-5p,ADAM9
hsa-miR-30d-5p,ADAM9
hsa-miR-30e-5p,ADAM9
hsa-miR-329-3p,ADAM9
hsa-miR-543,ADAM9
hsa-miR-603,ADAM9
hsa-miR-100-5p,AKT1
hsa-miR-105-5p,AKT1
hsa-miR-125b-5p,AKT1
hsa-miR-143-3p,AKT1
hsa-miR-155-5p,AKT1
hsa-miR-185-5p,AKT1
hsa-miR-199a-3p,AKT1
hsa-miR-19a-3p,AKT1
hsa-miR-26b-5p,AKT1
hsa-miR-302b-3p,AKT1
hsa-miR-302d-3p,AKT1
hsa-miR-365a-3p,AKT1
hsa-miR-365b-3p,AKT1
hsa-miR-378e,AKT1
hsa-miR-378f,AKT1
hsa-miR-422a,AKT1
hsa-miR-518c-5p,AKT1
hsa-miR-654-3p,AKT1
hsa-let-7b-5p,AKT2
hsa-let-7g-5p,AKT2
hsa-miR-149-5p,AKT2
hsa-miR-184,AKT2
hsa-miR-21-5p,AKT2
hsa-miR-29a-3p,AKT2
hsa-miR-29b-3p,AKT2
hsa-miR-29c-3p,AKT2
hsa-miR-302b-3p,AKT2
hsa-miR-423-3p,AKT2
hsa-miR-612,AKT2
hsa-miR-122-5p,AKT3
hsa-miR-15a-5p,AKT3
hsa-miR-15b-5p,AKT3
hsa-miR-16-5p,AKT3
hsa-miR-221-3p,AKT3
hsa-miR-222-3p,AKT3
hsa-miR-29c-3p,AKT3
hsa-miR-361-5p,AKT3
hsa-miR-424-5p,AKT3
hsa-miR-503-5p,AKT3
hsa-miR-5196-3p,AKT3
hsa-miR-519d-3p,AKT3
hsa-miR-520h,AKT3
hsa-miR-106b-5p,APC
hsa-miR-142-3p,APC
hsa-miR-155-5p,APC
hsa-miR-186-5p,APC
hsa-miR-21-5p,APC
hsa-miR-218-5p,APC
hsa-miR-27a-3p,APC
hsa-miR-148b-5p,APC2
hsa-miR-331-3p,ARAF
hsa-miR-103a-3p,ASH1L
hsa-miR-107,ASH1L
hsa-miR-154-5p,ASH1L
hsa-miR-15a-5p,ASH1L
hsa-miR-15b-5p,ASH1L
hsa-miR-16-5p,ASH1L
hsa-miR-17-5p,ASH1L
hsa-miR-185-5p,ASH1L
hsa-miR-214-3p,ASH1L
hsa-miR-3179,ASH1L
hsa-miR-329-3p,ASH1L
hsa-miR-361-5p,ASH1L
hsa-miR-377-3p,ASH1L
hsa-miR-424-5p,ASH1L
hsa-miR-503-5p,ASH1L
hsa-miR-548aa,ASH1L
hsa-miR-548ah-3p,ASH1L
hsa-miR-548j-3p,ASH1L
hsa-miR-548t-3p,ASH1L
hsa-miR-574-5p,ASH1L
hsa-miR-603,ASH1L
hsa-miR-656-3p,ASH1L
hsa-miR-761,ASH1L
hsa-miR-218-5p,AXIN1
hsa-miR-484,AXIN1
hsa-miR-92a-3p,AXIN1
hsa-miR-103a-3p,AXIN2
hsa-miR-107,AXIN2
hsa-miR-15a-5p,AXIN2
hsa-miR-15b-5p,AXIN2
hsa-miR-16-5p,AXIN2
hsa-miR-208a-3p,AXIN2
hsa-miR-34a-5p,AXIN2
hsa-miR-34c-3p,AXIN2
hsa-miR-424-5p,AXIN2
hsa-miR-455-3p,BAIAP2
hsa-miR-105-5p,BCAR1
hsa-miR-522-3p,BCAR1
hsa-miR-548aa,BCAR1
hsa-miR-548t-3p,BCAR1
hsa-let-7a-5p,BCL2
hsa-miR-103a-3p,BCL2
hsa-miR-125b-5p,BCL2
hsa-miR-136-5p,BCL2
hsa-miR-143-3p,BCL2
hsa-miR-15a-5p,BCL2
hsa-miR-15b-5p,BCL2
hsa-miR-16-5p,BCL2
hsa-miR-17-5p,BCL2
hsa-miR-181a-5p,BCL2
hsa-miR-181b-5p,BCL2
hsa-miR-181d-5p,BCL2
hsa-miR-184,BCL2
hsa-miR-18a-5p,BCL2
hsa-miR-1915-3p,BCL2
hsa-miR-200b-3p,BCL2
hsa-miR-20a-5p,BCL2
hsa-miR-21-5p,BCL2
hsa-miR-29a-3p,BCL2
hsa-miR-29b-3p,BCL2
hsa-miR-29c-3p,BCL2
hsa-miR-30b-5p,BCL2
hsa-miR-34a-5p,BCL2
hsa-miR-365a-3p,BCL2
hsa-miR-448,BCL2
hsa-miR-494-3p,BCL2
hsa-miR-503-5p,BCL2
hsa-miR-15a-5p,BHLHE40
hsa-miR-15b-5p,BHLHE40
hsa-miR-16-5p,BHLHE40
hsa-miR-1915-3p,BHLHE40
hsa-miR-329-3p,BHLHE40
hsa-miR-374a-5p,BHLHE40
hsa-miR-454-3p,BHLHE40
hsa-miR-483-3p,BHLHE40
hsa-miR-603,BHLHE40
hsa-miR-767-3p,BHLHE40
hsa-miR-143-3p,BRAF
hsa-miR-145-5p,BRAF
hsa-miR-191-5p,BRAF
hsa-miR-15a-5p,CASK
hsa-miR-15b-5p,CASK
hsa-miR-16-5p,CASK
hsa-miR-424-5p,CASK
hsa-miR-503-5p,CASK
hsa-let-7a-5p,CCND1
hsa-let-7b-5p,CCND1
hsa-let-7c-5p,CCND1
hsa-let-7d-5p,CCND1
hsa-let-7e-5p,CCND1
hsa-let-7f-5p,CCND1
hsa-let-7g-5p,CCND1
hsa-let-7i-5p,CCND1
hsa-miR-106a-5p,CCND1
hsa-miR-106b-5p,CCND1
hsa-miR-1193,CCND1
hsa-miR-1234-3p,CCND1
hsa-miR-1253,CCND1
hsa-miR-1257,CCND1
hsa-miR-152-3p,CCND1
hsa-miR-155-5p,CCND1
hsa-miR-15a-5p,CCND1
hsa-miR-15b-5p,CCND1
hsa-miR-16-5p,CCND1
hsa-miR-17-5p,CCND1
hsa-miR-18a-5p,CCND1
hsa-miR-18b-5p,CCND1
hsa-miR-19a-3p,CCND1
hsa-miR-20a-5p,CCND1
hsa-miR-20b-5p,CCND1
hsa-miR-216b-3p,CCND1
hsa-miR-24-3p,CCND1
hsa-miR-26b-5p,CCND1
hsa-miR-27a-3p,CCND1
hsa-miR-29a-3p,CCND1
hsa-miR-34a-5p,CCND1
hsa-miR-365a-3p,CCND1
hsa-miR-374a-5p,CCND1
hsa-miR-374b-5p,CCND1
hsa-miR-424-5p,CCND1
hsa-miR-448,CCND1
hsa-miR-490-3p,CCND1
hsa-miR-491-3p,CCND1
hsa-miR-494-3p,CCND1
hsa-miR-503-5p,CCND1
hsa-miR-516b-5p,CCND1
hsa-miR-518c-5p,CCND1
hsa-miR-5196-5p,CCND1
hsa-miR-519d-3p,CCND1
hsa-miR-548ah-5p,CCND1
hsa-miR-574-5p,CCND1
hsa-miR-603,CCND1
hsa-miR-891b,CCND1
hsa-miR-92a-3p,CCND1
hsa-miR-93-5p,CCND1
hsa-miR-944,CCND1
hsa-miR-9-5p,CCND1
hsa-miR-98-5p,CCND1
hsa-let-7a-5p,CCND2
hsa-let-7b-5p,CCND2
hsa-miR-106b-5p,CCND2
hsa-miR-1200,CCND2
hsa-miR-1297,CCND2
hsa-miR-130a-3p,CCND2
hsa-miR-154-5p,CCND2
hsa-miR-15a-5p,CCND2
hsa-miR-15b-5p,CCND2
hsa-miR-16-5p,CCND2
hsa-miR-17-5p,CCND2
hsa-miR-185-5p,CCND2
hsa-miR-191-5p,CCND2
hsa-miR-19a-3p,CCND2
hsa-miR-19b-3p,CCND2
hsa-miR-20a-5p,CCND2
hsa-miR-26a-5p,CCND2
hsa-miR-26b-5p,CCND2
hsa-miR-29a-3p,CCND2
hsa-miR-29b-3p,CCND2
hsa-miR-29c-3p,CCND2
hsa-miR-301a-3p,CCND2
hsa-miR-302b-3p,CCND2
hsa-miR-302d-3p,CCND2
hsa-miR-30c-5p,CCND2
hsa-miR-324-3p,CCND2
hsa-miR-3613-3p,CCND2
hsa-miR-372-3p,CCND2
hsa-miR-382-5p,CCND2
hsa-miR-423-5p,CCND2
hsa-miR-424-5p,CCND2
hsa-miR-454-3p,CCND2
hsa-miR-503-5p,CCND2
hsa-miR-505-3p,CCND2
hsa-miR-519a-3p,CCND2
hsa-miR-520d-3p,CCND2
hsa-miR-520e,CCND2
hsa-miR-603,CCND2
hsa-miR-656-3p,CCND2
hsa-miR-877-5p,CCND2
hsa-miR-890,CCND2
hsa-let-7b-5p,CCND3
hsa-miR-16-5p,CCND3
hsa-miR-218-5p,CCND3
hsa-miR-27b-3p,CCND3
hsa-miR-28-5p,CCND3
hsa-miR-324-5p,CCND3
hsa-miR-34a-5p,CCND3
hsa-miR-424-5p,CCND3
hsa-miR-503-5p,CCND3
hsa-miR-106b-5p,CDC42
hsa-miR-185-5p,CDC42
hsa-miR-29a-3p,CDC42
hsa-miR-29b-3p,CDC42
hsa-miR-29c-3p,CDC42
hsa-miR-484,CDC42
hsa-miR-608,CDC42
hsa-miR-122-5p,CDK4
hsa-miR-125a-3p,CDK4
hsa-miR-130a-3p,CDK4
hsa-miR-145-5p,CDK4
hsa-miR-155-5p,CDK4
hsa-miR-15b-5p,CDK4
hsa-miR-216b-5p,CDK4
hsa-miR-24-3p,CDK4
hsa-miR-25-3p,CDK4
hsa-miR-29a-3p,CDK4
hsa-miR-301a-3p,CDK4
hsa-miR-34a-5p,CDK4
hsa-miR-431-5p,CDK4
hsa-miR-454-3p,CDK4
hsa-miR-483-3p,CDK4
hsa-miR-548a-5p,CDK4
hsa-miR-548am-5p,CDK4
hsa-miR-548ar-5p,CDK4
hsa-miR-548c-5p,CDK4
hsa-miR-548i,CDK4
hsa-miR-548j-5p,CDK4
hsa-miR-548o-5p,CDK4
hsa-miR-766-3p,CDK4
hsa-miR-324-5p,CFL1
hsa-miR-34a-5p,CFL1
hsa-miR-484,CFL1
hsa-miR-125b-5p,CGN
hsa-miR-186-5p,CGN
hsa-miR-19b-3p,CGN
hsa-miR-186-5p,CLDN23
hsa-miR-222-3p,CLDN23
hsa-let-7e-5p,CLDN4
hsa-miR-484,CLDN7
hsa-let-7e-5p,CREBBP
hsa-miR-100-5p,CREBBP
hsa-miR-125b-5p,CREBBP
hsa-miR-218-5p,CREBBP
hsa-miR-324-3p,CREBBP
hsa-miR-543,CREBBP
hsa-let-7c-5p,CRK
hsa-let-7e-5p,CRK
hsa-miR-106a-5p,CRK
hsa-miR-106b-5p,CRK
hsa-miR-10a-5p,CRK
hsa-miR-1257,CRK
hsa-miR-125a-5p,CRK
hsa-miR-1260b,CRK
hsa-miR-132-3p,CRK
hsa-miR-135b-3p,CRK
hsa-miR-15a-5p,CRK
hsa-miR-15b-5p,CRK
hsa-miR-16-5p,CRK
hsa-miR-17-5p,CRK
hsa-miR-186-5p,CRK
hsa-miR-1915-3p,CRK
hsa-miR-20a-5p,CRK
hsa-miR-20b-5p,CRK
hsa-miR-216b-3p,CRK
hsa-miR-302b-3p,CRK
hsa-miR-302d-3p,CRK
hsa-miR-30a-3p,CRK
hsa-miR-329-3p,CRK
hsa-miR-370-3p,CRK
hsa-miR-372-3p,CRK
hsa-miR-410-3p,CRK
hsa-miR-423-3p,CRK
hsa-miR-424-5p,CRK
hsa-miR-503-5p,CRK
hsa-miR-5196-5p,CRK
hsa-miR-519d-3p,CRK
hsa-miR-520d-3p,CRK
hsa-miR-520e,CRK
hsa-miR-548ah-5p,CRK
hsa-miR-548n,CRK
hsa-miR-603,CRK
hsa-miR-619-3p,CRK
hsa-miR-93-5p,CRK
hsa-let-7b-5p,CRKL
hsa-miR-103a-3p,CRKL
hsa-miR-107,CRKL
hsa-miR-1205,CRKL
hsa-miR-1253,CRKL
hsa-miR-15a-5p,CRKL
hsa-miR-15b-5p,CRKL
hsa-miR-16-5p,CRKL
hsa-miR-193b-5p,CRKL
hsa-miR-214-3p,CRKL
hsa-miR-23b-3p,CRKL
hsa-miR-29a-3p,CRKL
hsa-miR-3065-5p,CRKL
hsa-miR-30c-1-3p,CRKL
hsa-miR-424-5p,CRKL
hsa-miR-455-5p,CRKL
hsa-miR-508-5p,CRKL
hsa-miR-761,CRKL
hsa-miR-766-3p,CRKL
hsa-miR-890,CRKL
hsa-miR-940,CRKL
hsa-miR-944,CRKL
hsa-miR-98-5p,CRKL
hsa-miR-106a-5p,CSNK1A1
hsa-miR-106b-5p,CSNK1A1
hsa-miR-1297,CSNK1A1
hsa-miR-136-5p,CSNK1A1
hsa-miR-155-5p,CSNK1A1
hsa-miR-17-5p,CSNK1A1
hsa-miR-181a-5p,CSNK1A1
hsa-miR-181b-5p,CSNK1A1
hsa-miR-181d-5p,CSNK1A1
hsa-miR-186-5p,CSNK1A1
hsa-miR-199a-3p,CSNK1A1
hsa-miR-199b-3p,CSNK1A1
hsa-miR-20a-5p,CSNK1A1
hsa-miR-20b-5p,CSNK1A1
hsa-miR-21-5p,CSNK1A1
hsa-miR-26a-5p,CSNK1A1
hsa-miR-26b-5p,CSNK1A1
hsa-miR-302b-3p,CSNK1A1
hsa-miR-302d-3p,CSNK1A1
hsa-miR-324-3p,CSNK1A1
hsa-miR-372-3p,CSNK1A1
hsa-miR-505-3p,CSNK1A1
hsa-miR-519a-3p,CSNK1A1
hsa-miR-519d-3p,CSNK1A1
hsa-miR-520d-3p,CSNK1A1
hsa-miR-520e,CSNK1A1
hsa-miR-93-5p,CSNK1A1
hsa-let-7a-5p,CSNK2A1
hsa-let-7b-5p,CSNK2A1
hsa-let-7c-5p,CSNK2A1
hsa-miR-103a-3p,CSNK2A1
hsa-miR-107,CSNK2A1
hsa-miR-10a-5p,CSNK2A1
hsa-miR-1183,CSNK2A1
hsa-miR-1205,CSNK2A1
hsa-miR-1253,CSNK2A1
hsa-miR-125a-5p,CSNK2A1
hsa-miR-125b-5p,CSNK2A1
hsa-miR-1260a,CSNK2A1
hsa-miR-1260b,CSNK2A1
hsa-miR-1304-5p,CSNK2A1
hsa-miR-136-5p,CSNK2A1
hsa-miR-186-5p,CSNK2A1
hsa-miR-188-3p,CSNK2A1
hsa-miR-193a-5p,CSNK2A1
hsa-miR-216b-5p,CSNK2A1
hsa-miR-22-3p,CSNK2A1
hsa-miR-337-3p,CSNK2A1
hsa-miR-504-5p,CSNK2A1
hsa-miR-548ai,CSNK2A1
hsa-miR-570-5p,CSNK2A1
hsa-miR-1200,CTBP1
hsa-miR-1253,CTBP1
hsa-miR-26a-5p,CTBP1
hsa-miR-940,CTBP1
hsa-let-7b-5p,CTBP2
hsa-miR-141-3p,CTBP2
hsa-miR-339-5p,CTBP2
hsa-miR-155-5p,CTNNA1
hsa-miR-218-5p,CTNNA1
hsa-miR-142-3p,CTNNB1
hsa-miR-155-5p,CTNNB1
hsa-miR-2113,CTNNB1
hsa-miR-214-3p,CTNNB1
hsa-miR-221-3p,CTNNB1
hsa-miR-30a-5p,CTNNB1
hsa-miR-3144-3p,CTNNB1
hsa-miR-331-3p,CTNNB1
hsa-miR-34a-5p,CTNNB1
hsa-miR-34c-3p,CTNNB1
hsa-miR-520h,CTNNB1
hsa-miR-185-5p,CTTN
hsa-miR-34a-5p,CTTN
hsa-miR-382-5p,CTTN
hsa-miR-448,CTTN
hsa-miR-548aa,CTTN
hsa-miR-548t-3p,CTTN
hsa-miR-92a-3p,CTTN
hsa-miR-146a-5p,CXCR4
hsa-miR-26b-5p,CXCR4
hsa-miR-494-3p,CXCR4
hsa-miR-9-5p,CXCR4
hsa-miR-149-5p,CYFIP2
hsa-miR-423-3p,CYFIP2
hsa-miR-9-5p,CYFIP2
hsa-let-7b-5p,DIAPH1
hsa-let-7e-5p,DIAPH1
hsa-miR-185-5p,DIAPH1
hsa-miR-18a-5p,DIAPH1
hsa-miR-23b-3p,DIAPH1
hsa-miR-27b-3p,DIAPH1
hsa-miR-502-5p,DIAPH1
hsa-miR-92a-3p,DIAPH1
hsa-miR-155-5p,DIAPH3
hsa-miR-143-3p,DNMT3A
hsa-miR-194-5p,DNMT3A
hsa-miR-200b-3p,DNMT3A
hsa-miR-29a-3p,DNMT3A
hsa-miR-29b-3p,DNMT3A
hsa-miR-29c-3p,DNMT3A
hsa-miR-155-5p,DOCK1
hsa-miR-4455,DOCK1
hsa-miR-574-5p,DOCK1
hsa-miR-10a-5p,DVL1
hsa-miR-339-5p,DVL1
hsa-miR-221-3p,DVL2
hsa-miR-324-3p,DVL2
hsa-miR-484,DVL2
hsa-let-7a-5p,DVL3
hsa-let-7b-5p,DVL3
hsa-let-7c-5p,DVL3
hsa-let-7d-5p,DVL3
hsa-let-7e-5p,DVL3
hsa-let-7f-5p,DVL3
hsa-let-7g-5p,DVL3
hsa-let-7i-5p,DVL3
hsa-miR-10a-5p,DVL3
hsa-miR-24-3p,DVL3
hsa-miR-26b-5p,DVL3
hsa-miR-6732-3p,DVL3
hsa-miR-93-5p,DVL3
hsa-miR-98-5p,DVL3
hsa-let-7a-5p,EGFR
hsa-miR-125a-5p,EGFR
hsa-miR-128-3p,EGFR
hsa-miR-145-5p,EGFR
hsa-miR-146a-5p,EGFR
hsa-miR-155-5p,EGFR
hsa-miR-16-5p,EGFR
hsa-miR-21-5p,EGFR
hsa-miR-218-5p,EGFR
hsa-miR-27a-3p,EGFR
hsa-miR-302b-3p,EGFR
hsa-miR-30a-5p,EGFR
hsa-miR-542-5p,EGFR
hsa-miR-574-3p,EGFR
hsa-let-7b-5p,EP300
hsa-miR-149-5p,EP300
hsa-miR-181b-5p,EP300
hsa-miR-181d-5p,EP300
hsa-miR-194-5p,EP300
