ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
ABCF1,NM_001090.2,mRNA,8.4,22.71,54.07,23.53,200.76,26.53
ABI2,NM_005759.5,mRNA,3.29,6.57,26.88,5.68,82.88,9.35
ACTG1,NM_001614.2,mRNA,484.46,1015.57,3060,1170.03,11661.73,1100.29
ACTN1,NM_001102.3,mRNA,57.84,111.09,333.07,153.25,1081.76,129.78
ACTN3,NM_001104.1,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
ACTN4,NM_004924.4,mRNA,55.96,85.61,338.38,120.08,985.28,120.9
ADAM9,NM_001005845.1,mRNA,39.25,80.76,264.99,83.35,721.86,118.62
AGO2,NM_012154.2,mRNA,3.18,10.22,24.5,10.37,89.97,12.5
AKT1,NM_001014432.1,mRNA,10.82,24.18,65.74,27.56,161.45,27.17
AKT2,NM_001626.4,mRNA,7.93,19.3,57.68,21.94,206.53,23.94
AKT3,NM_005465.4,mRNA,13.92,35.15,135.18,33.45,388.84,45.03
ALDH18A1,NM_001017423.1,mRNA,13.57,27.13,93.9,37.18,224.86,32.79
ALPI,NM_001631.3,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
APC,NM_000038.3,mRNA,3.17,8.12,17.81,11.68,82.3,6.48
APC2,NM_005883.2,mRNA,0.18,0.38,0.96,0.7,2.89,0.71
ARAF,NM_001654.3,mRNA,0.83,1.89,6.93,2.72,20.94,1.94
ASH1L,NM_018489.2,mRNA,4.83,11.08,29.07,14.52,124.17,9.43
AXIN1,NM_181050.1,mRNA,0.62,1.51,4.88,1.56,12.06,1.87
AXIN2,NM_004655.3,mRNA,0.31,0.63,2.08,0.58,3.86,0.79
BAD,NM_004322.3,mRNA,1.81,4.56,9.88,4.4,44.25,6.17
BAIAP2,NM_017450.2,mRNA,0.78,1.53,4.6,1.61,16.51,1.8
BAIAP2L1,NM_018842.3,mRNA,2.39,4.08,15.55,3.85,23.26,5.49
BCAR1,NM_001170717.1,mRNA,4.11,9.12,25.69,9,72.01,10.32
BCL2,NM_000657.2,mRNA,0.21,0.94,1.23,0.36,3.69,0.41
BHLHE40,NM_003670.1,mRNA,1.74,3.63,6.63,5.12,13.98,4.27
BRAF,NM_004333.3,mRNA,3.94,9.35,41.72,11.92,79.59,12.26
BRK1,NM_018462.4,mRNA,10.38,21.38,62.31,22.18,215.53,34.9
CA1,NM_001738.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CA2,NM_000067.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.47
CASK,NM_001126054.2,mRNA,8.8,20.93,40.43,28.03,188.91,21.31
CCND1,NM_053056.2,mRNA,283.26,493.45,1049.67,315.13,2998.36,792.91
CCND2,NM_001759.3,mRNA,5.2,11.79,59.07,16.48,54.64,4.5
CCND3,NM_001760.2,mRNA,6.11,11.21,48.9,18.5,166.05,20.18
CCNG2,NM_004354.2,mRNA,5.58,15.13,83.35,19.95,159.05,21.36
CD44,NM_001001392.1,mRNA,211.71,489.84,1423,507.91,5349,671.66
CD9,NM_001769.2,mRNA,21.35,43.15,106.86,55.22,334.09,80.27
CDC42,NM_001039802.1,mRNA,52.69,125.6,474.62,150.45,468.94,188.54
CDK4,NM_000075.2,mRNA,2.58,7.31,19.14,7.17,61.58,6.57
CDX2,NM_001265.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CFL1,NM_005507.2,mRNA,145.81,292.44,876.16,380.28,3364.31,352.5
CGN,NM_020770.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CLDN15,NM_014343.1,mRNA,0.19,0.39,1.68,0.48,2.89,0.36
CLDN23,NM_194284.2,mRNA,0.72,2.27,8.57,1.93,16.9,2.51
CLDN3,NM_001306.3,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CLDN4,NM_001305.3,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CLDN7,NM_001307.3,mRNA,0.15,0.31,0.96,0.35,2.89,0.36
CLDN8,NM_199328.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CLTC,NM_004859.2,mRNA,19.21,38.71,120.31,51.9,357.07,55.12
CRB3,NM_139161.3,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CREBBP,NM_004380.2,mRNA,9.2,22.29,95.18,28.73,248.11,23.76
CRK,NM_016823.2,mRNA,10.08,26.32,44.62,29.07,282.26,30.81
CRKL,NM_005207.3,mRNA,8.48,19.95,67.11,23.69,203.92,19.29
CSNK1A1,NM_001892.4,mRNA,51.25,82.47,455.96,72.46,1292.31,131.14
CSNK2A1,NM_177559.2,mRNA,9.32,18.51,66.01,27.35,185.61,25.82
CSNK2A2,NM_001896.2,mRNA,2.57,6.22,30.49,9.47,75.82,8.6
CSNK2B,NM_001320.5,mRNA,26.34,60.01,176.23,67.36,614.07,62.16
CTBP1,NM_001328.2,mRNA,10.57,28.17,91.26,33.6,235.34,34.96
CTBP2,NM_001329.2,mRNA,12.13,31.54,107.4,37.12,309.84,36.94
CTNNA1,NM_001903.2,mRNA,62.28,133.25,479.4,198.8,1561.14,187.53
CTNNB1,NM_001098210.1,mRNA,57.77,127.71,484.7,182.01,1579.59,173.46
CTTN,NM_001184740.1,mRNA,7.7,17.84,31.49,20.47,193.83,24.72
CXCR4,NM_003467.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
CYFIP2,NM_001037332.2,mRNA,0.76,1.54,10.66,2.76,20.18,3.69
DGCR8,NM_022720.5,mRNA,4,9.81,34.63,12.35,90.83,11.38
DIAPH1,NM_005219.4,mRNA,8.46,18.51,67.58,22.26,178.43,26.26
DIAPH3,NM_001042517.1,mRNA,2.39,6.76,10.42,4.85,38.37,4.21
DICER1,NM_177438.2,mRNA,10.18,29.72,90.05,35.35,125.35,29.03
DNMT3A,NM_022552.4,mRNA,1.71,4.43,21.75,6.75,54.4,7.25
DOCK1,NM_001380.3,mRNA,15.43,34.84,144.86,38.28,403.27,38.46
DROSHA,NM_013235.4,mRNA,6.68,16.06,53.46,18.66,150.68,13.94
DVL1,NM_004421.2,mRNA,1.99,4.74,10.39,5.1,36.09,5.47
DVL2,NM_004422.2,mRNA,2.44,5.88,20.88,7.93,62.46,6.56
DVL3,NM_004423.3,mRNA,7.1,10.56,68.55,24.15,166.49,18.82
EGFR,NM_201282.1,mRNA,9.89,29.43,74.25,19.54,258.28,31.71
EP300,NM_001429.2,mRNA,6.84,16.25,64.21,20.24,146.28,18.21
EPB41,NM_001166005.1,mRNA,0.22,0.31,1.73,0.35,3.6,0.92
EPB41L1,NM_001258330.1,mRNA,2.39,5.36,20.33,6.64,54.6,9.89
EPB41L2,NM_001199389.1,mRNA,26.47,49.86,249.07,79.84,747.6,51.3
EPB41L3,NM_012307.2,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
ERBB2,NM_001005862.1,mRNA,2.07,3.71,17.32,5.79,36.58,6.36
EXOC3,NM_007277.4,mRNA,2.28,5.13,21.51,8.24,54.1,8.28
EXOC4,NM_001037126.1,mRNA,9.52,20.97,81.89,29.46,230.83,30.67
F11R,NM_144503.1,mRNA,0.25,0.38,3.17,0.35,2.89,1.7
FGFR1,NM_015850.2,mRNA,18.79,40.79,135.16,38.03,315.38,53.66
FLNA,NM_001456.3,mRNA,148.01,263.22,1023.13,370.2,3207.09,314.95
FN1,NM_212482.1,mRNA,340.02,605.54,1767.54,793.09,4667.69,627.78
FYN,NM_002037.3,mRNA,3.09,7.15,30,9.52,79.3,9.68
G6PD,NM_000402.2,mRNA,18.26,34.71,153.36,64.14,615.21,59.33
GAPDH,NM_002046.3,mRNA,741.47,1760.65,4541.71,1685.32,10774.8,2116.84
GNAI1,NM_002069.4,mRNA,16.61,43.29,234.59,61.31,979.95,78.64
GNAI2,NM_002070.2,mRNA,88.73,193.13,596.43,250.8,2225.28,174.43
GNAI3,NM_006496.1,mRNA,10.53,24.7,70.33,34.38,242.97,37.7
GSK3B,NM_002093.2,mRNA,5.94,13.19,69.07,19.16,152.8,18.09
GSTM3,NM_000849.4,mRNA,21.57,51.65,252.15,58.91,744.67,80.78
GUSB,NM_000181.1,mRNA,2.16,4.98,20.78,5.45,54.31,5.35
HCLS1,NM_005335.4,mRNA,0.21,0.37,1.21,0.44,3.78,0.5
HPRT1,NM_000194.1,mRNA,7.64,19.52,46.44,17.39,147.83,21.96
HPSE,NM_006665.3,mRNA,0.14,0.31,0.96,0.35,2.89,0.36
HRAS,NM_005343.2,mRNA,1.96,6.22,10.92,5.11,47.96,5.83
HSPA1A,NM_005345.5,mRNA,0.6,1.31,4.08,1.32,15.21,1.58
HSPA1B,NM_005346.3,mRNA,4.32,7.99,15.81,10.39,97.92,19.66
HSPA8,NM_006597.3,mRNA,329,831.31,2257.92,925.71,7319.86,672.78
HSPB1,NM_001540.3,mRNA,30,47.92,193.76,60.87,550.66,44.5
IGF1R,NM_000875.3,mRNA,3.67,6.4,29.21,7.52,97.05,12.77
IL1R1,NM_000877.3,mRNA,6.99,22.91,126.23,42.32,542.77,58.32
IL1R1 b,NM_001320984.1,mRNA,2.69,7.81,42.64,14.88,200.87,19.67
IL1R2,NM_001261419.1,mRNA,0.15,0.31,0.96,0.35,2.89,0.36
INADL,XM_005270347.1,mRNA,1.01,1.67,10.81,2.24,17.42,2.85
IQGAP1,NM_003870.3,mRNA,29.8,69.22,217.8,88.01,469.46,91.45
IRS1,NM_005544.2,mRNA,5.84,14.81,55.64,13.15,144.91,14.21
ITGA1,NM_181501.1,mRNA,112.27,195.14,1092.55,249.7,2604.14,243.07
ITGA3,NM_002204.2,mRNA,11.18,28.99,43.17,31.61,155.5,25.36
ITGA4,NM_000885.4,mRNA,0.18,0.31,0.96,0.38,2.89,0.48
