ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-let-7b-5p,MIMAT0000063,miRNA,877.45,731.19,843.81,734.64,589.32,634.1
hsa-let-7c-5p,MIMAT0000064,miRNA,73.34,64.39,142.37,39.28,51.71,55.16
hsa-let-7d-5p,MIMAT0000065,miRNA,327.9,307.52,300.61,274.33,194.85,276.11
hsa-let-7e-5p,MIMAT0000066,miRNA,577.12,437.57,491.94,425.3,373.09,372.65
hsa-let-7f-5p,MIMAT0000067,miRNA,310.63,278.8,218.08,214.94,270.77,245.42
hsa-let-7g-5p,MIMAT0000414,miRNA,306.55,288.33,291.87,255.03,238.01,251.08
hsa-let-7i-5p,MIMAT0000415,miRNA,819.14,917.06,753.95,708.18,558.39,754.41
hsa-miR-100-5p,MIMAT0000098,miRNA,715.5,638.07,643.35,593.01,454.3,549.91
hsa-miR-103a-3p,MIMAT0000101,miRNA,20,20,20,20,20,21.61
hsa-miR-105-5p,MIMAT0000102,miRNA,20,22.18,20,20,20,20
hsa-miR-106a-5p+hsa-miR-17-5p,MIMAT0000103,miRNA,36.12,43.94,25.85,28.84,41.37,28.85
hsa-miR-106b-5p,MIMAT0000680,miRNA,25.17,26.11,23.53,20.18,26.73,20
hsa-miR-107,MIMAT0000104,miRNA,148.4,128.71,134.29,110.25,183.26,117.78
hsa-miR-10a-5p,MIMAT0000253,miRNA,85.18,72.93,86.97,80.25,54.61,75.53
hsa-miR-1180-3p,MIMAT0005825,miRNA,28.37,25.56,29.04,20,20,30.37
hsa-miR-1183,MIMAT0005828,miRNA,20,20,20,34.29,20,20
hsa-miR-1193,MIMAT0015049,miRNA,20,20,61.64,20,20,20
hsa-miR-1200,MIMAT0005863,miRNA,20,20,20,20,23.89,20
hsa-miR-1205,MIMAT0005869,miRNA,20,20,20,87.47,20,20
hsa-miR-122-5p,MIMAT0000421,miRNA,28.67,31.68,35.27,39.77,20,29.17
hsa-miR-1233-3p,MIMAT0005588,miRNA,20.62,20,21.64,22.7,22.66,21.8
hsa-miR-1234-3p,MIMAT0005589,miRNA,20,20,20.14,20,21.66,20
hsa-miR-1245b-5p,MIMAT0019950,miRNA,20,22.27,20,20,20,20
hsa-miR-1246,MIMAT0005898,miRNA,154.59,208.27,98.42,149.8,141.82,164.65
hsa-miR-1250-5p,MIMAT0005902,miRNA,20,20,20.05,20,20.62,36.86
hsa-miR-1253,MIMAT0005904,miRNA,45.63,62.02,51.31,59.44,112.1,38.38
hsa-miR-1257,MIMAT0005908,miRNA,20,20,20,26.35,20,20
hsa-miR-125a-3p,MIMAT0004602,miRNA,20,20,37.67,20,20,20
hsa-miR-125a-5p,MIMAT0000443,miRNA,535.93,454.79,450.36,400.66,280.91,417.34
hsa-miR-125b-5p,MIMAT0000423,miRNA,4816.75,4476.58,4104.26,3245.64,3395.72,3264.13
hsa-miR-1260a,MIMAT0005911,miRNA,76.05,73.66,82.91,74.42,92.64,75.77
